date,home_team,away_team,home_score,away_score,tournament,country,neutral,shootout_winner,first_shooter,match_outcome,home_elo_pre,away_elo_pre
1872-11-30,Scotland,England,0.0,0.0,Friendly,Scotland,False,,,Draw,1500.0,1500.0
1873-03-08,England,Scotland,4.0,2.0,Friendly,England,False,,,Home Win,1501.400649998029,1498.599350001971
1874-03-07,Scotland,England,2.0,1.0,Friendly,Scotland,False,,,Home Win,1495.0370658772868,1504.9629341227132
1875-03-06,England,Scotland,2.0,2.0,Friendly,England,False,,,Draw,1501.23092322452,1498.76907677548
1876-03-04,Scotland,England,3.0,0.0,Friendly,Scotland,False,,,Home Win,1500.202310171444,1499.797689828556
1876-03-25,Scotland,Wales,4.0,0.0,Friendly,Scotland,False,,,Home Win,1503.796295914713,1500.0
1877-03-03,England,Scotland,1.0,3.0,Friendly,England,False,,,Away Win,1496.203704085287,1507.3454556626684
1877-03-05,Wales,Scotland,0.0,2.0,Friendly,Wales,False,,,Away Win,1496.4508402520446,1513.5970576470177
1878-03-02,Scotland,England,7.0,2.0,Friendly,Scotland,False,,,Home Win,1519.7673191857607,1489.9521021009377
1878-03-23,Scotland,Wales,9.0,0.0,Friendly,Scotland,False,,,Home Win,1522.981469546697,1490.2805787133016
1879-01-18,England,Wales,2.0,1.0,Friendly,England,False,,,Home Win,1486.7379517400013,1487.102550781982
1879-04-05,England,Scotland,5.0,4.0,Friendly,England,False,,,Home Win,1490.3421384169953,1526.1594974780166
1879-04-07,Wales,Scotland,0.0,3.0,Friendly,Wales,False,,,Away Win,1483.498364104988,1522.072794403711
1880-03-13,Scotland,England,5.0,4.0,Friendly,Scotland,False,,,Home Win,1527.9476828344116,1494.428841491301
1880-03-15,Wales,England,2.0,3.0,Friendly,Wales,False,,,Away Win,1477.6234756742874,1491.261013019506
1880-03-27,Scotland,Wales,5.0,1.0,Friendly,Scotland,False,,,Home Win,1531.1155113062066,1471.4056004150477
1881-02-26,England,Wales,0.0,1.0,Friendly,England,False,,,Away Win,1497.4788882787457,1468.5547257068317
1881-03-12,England,Scotland,1.0,6.0,Friendly,England,False,,,Away Win,1490.704236304022,1533.9663860144226
